[0.00s - 4.00s]  Five jumps.
[12.00s - 16.00s]  Touching the nose.
[16.00s - 20.00s]  Raising arms to wave goodbye.
[20.00s - 24.00s]  Walking.
[24.00s - 28.00s]  Picking up the phone from the table. Texting on the phone.
[30.00s - 34.00s]  Standing around.
[34.00s - 38.00s]  Waving goodbye.
[38.00s - 42.00s]  Back to texting on the phone.
[42.00s - 46.00s]  Placing the phone on the table.
[46.00s - 50.00s]  Moving the phone on the table.
[58.00s - 62.00s]  Picking up the laptop from the table.
[62.00s - 66.00s]  Placing it frontwards. Picking up a paper.
[66.00s - 70.00s]  Sitting in a chair. Crossing the legs.
[70.00s - 74.00s]  Reading the paper while sitting in a chair in a cross-legged position.
[76.00s - 170.00s]  Flipping the pages.
[179.44s - 181.20s]  Placing the paper on the table.
[182.08s - 193.60s]  Lining the paper with the pen.
[209.20s - 231.60s]  Flipping the page.
[231.60s - 246.00s]  Flipping the pages back.
[247.44s - 249.28s]  Placing the papers on the table.
[250.48s - 251.68s]  Moving the pen.
[253.52s - 256.24s]  Opening the laptop standing from the chair.
[258.24s - 260.56s]  Typing on the laptop while standing.
[291.60s - 312.24s]  Picking up the laptop from the table and walking.
[312.24s - 317.60s]  Sitting on the bed, placing the laptop beside the bed.
[317.60s - 321.60s]  Sitting on the laptop while twisting the body.
[347.60s - 375.60s]  Placing the laptop on the thighs and typing on the laptop.
[375.60s - 391.60s]  Sitting on the laptop while turning the laptop.
[391.60s - 411.60s]  Adjusting the sensors on the arm.
[411.60s - 427.60s]  Back to typing.
[427.60s - 431.60s]  Adjusting the t-shirt from behind.
[431.60s - 439.60s]  Resting the face on the arm while typing with the right arm.
[439.60s - 443.60s]  Picking up the laptop, placing it on the bedside.
[443.60s - 451.60s]  Crossing the legs while seated in the bed and typing on the laptop.
[469.60s - 489.60s]  Adjusting the laptop screen.
[489.60s - 517.60s]  Typing on the laptop.
[737.60s - 741.60s]  Picking up the phone from the bedside.
[741.60s - 745.60s]  Typing on the laptop.
[845.60s - 863.60s]  Placing the phone on the bed.
[863.60s - 867.60s]  Typing on the laptop.
[867.60s - 873.60s]  Using the cursor pad with the right hand.
[873.60s - 879.60s]  Testing hand on the face.
[879.60s - 889.60s]  Still using the cursor pad with the right hand.
[889.60s - 913.60s]  Typing with both hands.
[987.60s - 1009.60s]  Placing the laptop on the bed.
[1009.60s - 1013.60s]  Typing on the laptop.
