[0.00s - 4.00s]  Five jumps.
[13.00s - 17.00s]  Looking around.
[30.00s - 34.00s]  Walking.
[34.00s - 38.00s]  Sitting on a chair dragging the chair.
[38.00s - 42.00s]  Pulling the laptop closer on the desk.
[42.00s - 46.00s]  Arranging the book next to the laptop.
[46.00s - 50.00s]  Using the cursor pad to drag the book to the desk.
[50.00s - 54.00s]  Pulling the laptop closer on the desk.
[54.00s - 58.00s]  Arranging the book next to the laptop.
[58.00s - 62.00s]  Using the cursor pad on the laptop.
[221.56s - 229.86s]  Getting up from the chair.
[229.86s - 236.44s]  Putting the chair back in its place.
[236.44s - 241.56s]  Walking fixing T shirt.
[241.56s - 246.38s]  Walking getting down on the mat.
[246.38s - 248.38s]  Doing push-ups.
[276.38s - 281.38s]  Getting up.
[281.38s - 286.38s]  Stretching arms.
[286.38s - 306.38s]  Stretching the shoulders by rotating the shoulders front to back.
[316.38s - 327.38s]  Stretching the arms.
[327.38s - 337.38s]  Rotating the shoulders again.
[337.38s - 339.38s]  Walking.
[339.38s - 344.38s]  Fixing the T shirt.
[344.38s - 348.38s]  Getting down on the mat.
[348.38s - 367.38s]  Doing push-ups.
[367.38s - 370.38s]  Getting up.
[370.38s - 379.38s]  Fixing T shirt.
[379.38s - 390.38s]  Walking.
[390.38s - 419.38s]  Sitting on the sofa chair.
[419.38s - 421.38s]  Getting up.
[421.38s - 425.38s]  Getting down on the mat.
[425.38s - 429.38s]  Doing push-ups.
[429.38s - 432.38s]  Getting down on the mat.
[432.38s - 435.38s]  Getting up.
[435.38s - 439.38s]  Getting down on the mat.
[442.38s - 451.14s]  Standing up.
[451.14s - 457.82s]  Walking, opening the bottle of water.
[465.34s - 468.82s]  Pouring a glass of water.
[472.38s - 486.50s]  Sitting on the tall chair.
[486.50s - 517.46s]  Drinking the glass of water.
[517.68s - 527.18s]  Sticking the glass up.
[527.18s - 547.98s]  Placing the glass on the table.
[547.98s - 549.98s]  Sitting down from the high table.
[549.98s - 561.98s]  Walking.
[561.98s - 565.98s]  Picking up the phone from the table.
[565.98s - 569.98s]  Sitting in the sofa chair.
[569.98s - 573.98s]  Using the phone in both hands while sitting in the sofa chair.
[659.98s - 667.98s]  Sitting down from the sofa chair.
[667.98s - 683.98s]  Sitting on the sofa chair.
[773.98s - 784.90s]  Getting up from the chair, walking, placing the phone on the table, walking.
[791.98s - 800.98s]  Opening a tissue, walking to the coffee table,
[800.98s - 808.98s]  placing a banana on the table, peeling the banana.
[830.98s - 835.98s]  Eating the banana while seated in the sofa chair.
[890.98s - 894.98s]  Placing the banana on the table.
[912.98s - 916.98s]  Opening an orange witha a knife
[1060.98s - 1174.98s]  Eating the orange.
[1174.98s - 1194.98s]  Picking up a tissue and wiping the face and the hands.
[1194.98s - 1210.98s]  Picking up the plate and moving the trash into another vessel.
[1210.98s - 1214.98s]  Placing the knife and the plate back onto the table.
[1214.98s - 1217.98s]  Wiping the fingers again with the tissue.
[1217.98s - 1219.98s]  Throwing away the tissue.
[1219.98s - 1222.98s]  Standing up. Fixing the t-shirt.
[1222.98s - 1246.98s]  Walking.
[1252.98s - 1262.98s]  Pulling the chair.
[1262.98s - 1265.98s]  Sitting down in the chair.
[1265.98s - 1271.98s]  Picking up the book.
[1271.98s - 1277.98s]  Reading from the book.
[1277.98s - 1281.98s]  Picking up the book.
[1281.98s - 1285.98s]  Fixing the head gear.
[1285.98s - 1289.98s]  Turning the pages on the book.
[1289.98s - 1292.98s]  Reaching for the laptop on the table.
[1292.98s - 1320.98s]  Writing on the book with a pen.
[1320.98s - 1324.98s]  Picking up the book.
[1400.98s - 1427.98s]  Closing the pen cap.
[1427.98s - 1429.98s]  keeping the pen on the table.
[1429.98s - 1431.98s]  Getting up from the chair.
[1431.98s - 1433.98s]  Fixing the t-shirt.
[1433.98s - 1435.98s]  Walking.
[1435.98s - 1439.98s]  Pushing the chair back into the table.
[1443.98s - 1445.98s]  Walking.
[1453.98s - 1455.98s]  Picking up the spray bottle from the shelf.
[1455.98s - 1457.98s]  Walking towards the plant.
[1457.98s - 1461.98s]  Spraying the plant with water.
[1469.98s - 1473.98s]  Bending down and spraying the soil with some water.
[1485.98s - 1499.98s]  Placing the can back onto the shelf.
[1499.98s - 1505.98s]  Picking up the cube from the shelf.
[1505.98s - 1509.98s]  Walking and attempting to solve the 3D puzzle.
[1509.98s - 1513.98s]  Sitting in the coffee chair.
[1513.98s - 1693.98s]  Attempting to solve the 3D puzzle in the sofa chair.
[1693.98s - 1723.32s]  Standing up from the chair, walking.
[1723.32s - 1731.64s]  Standing up a magazine from the shelf, walking with the magazine in hand.
[1731.64s - 1738.64s]  Walking through the pages of the magazine, light walking.
[1761.64s - 1768.64s]  Standing up a magazine from the shelf, light walking.
[2004.64s - 2015.64s]  Picking up the phone from the table, walking with the phone in hand.
[2015.64s - 2018.64s]  Sitting on the edge of the bed.
[2018.64s - 2022.64s]  Laying on the bed.
[2022.64s - 2319.64s]  Typing on the phone while laying in the bed.
[2319.64s - 2327.64s]  Getting up from the bed, walking.
[2327.64s - 2333.64s]  Placing the phone on the table.
[2333.64s - 2339.64s]  Picking up the scissors.
[2339.64s - 2367.64s]  Cutting a piece of paper on the table.
[2367.64s - 2395.64s]  Holding a piece of paper.
[2395.64s - 2419.64s]  Cutting a piece of paper.
[2419.64s - 2447.64s]  Making origami out of the piece of paper.
[2447.64s - 2455.64s]  Walking.
[2455.64s - 2459.64s]  While making the origami.
[2459.64s - 2474.64s]  Placing the paper on the desk.
[2474.64s - 2503.64s]  Adjusting the sensors on the ties.
