[0.00s - 2.00s]  Five jumps.
[10.00s - 12.00s]  Walking.
[16.00s - 19.00s]  Swinging arms from back to front.
[30.00s - 32.00s]  Standing still.
[40.00s - 42.00s]  Walking.
[42.00s - 47.00s]  Reaching for a cocktail mix from the shelf.
[54.00s - 56.00s]  Walking.
[56.00s - 58.00s]  Sitting down on the sofa chair.
[60.00s - 64.00s]  Putting the cocktail mix into the wine glass.
[67.00s - 70.00s]  Adding water to the wine glass.
[76.00s - 79.00s]  Stirring the water in the wine glass.
[79.00s - 82.00s]  Sipping the cocktail.
[90.00s - 92.00s]  Standing up.
[94.00s - 99.00s]  Walking to the tall table and opening the laptop placed on it.
[100.00s - 103.00s]  Sitting on the tall chair.
[103.00s - 106.00s]  Working on the laptop.
[121.00s - 123.00s]  Drinking water.
[213.00s - 235.00s]  Getting down from the tall chair and walking. Stretching the left leg. Back to walking.
[235.00s - 252.00s]  Tying shoelaces. Still walking. Swinging arms from left to right and up and down.
[252.00s - 275.00s]  Bobbing head to music. Picking up the chessboard from the shelf. Placing it on the small coffee table. Opening the chess box.
[282.00s - 294.00s]  Putting the chess pieces out of the chess box.
[312.00s - 341.00s]  Walking. Picking up the water kettle from the stand. Placing it down.
[341.00s - 357.00s]  Making tea.
[357.00s - 375.00s]  Taking tea leaves from the tea bag and placing it into a cup.
[375.00s - 402.00s]  Closing the tea bag and pouring hot water from the kettle into the glass.
[402.00s - 418.00s]  Playing chess while listening to music and bobbing the head.
[418.00s - 447.00s]  Stomping the right feet.
[448.00s - 476.00s]  Playing chess.
[476.00s - 505.00s]  Placing the chess pieces on the board.
[506.00s - 525.00s]  Standing up.
[525.00s - 548.00s]  Working on the high table while standing. Using the laptop and typing with both hands.
[548.00s - 571.00s]  Walking.
[571.00s - 597.00s]  Standing and using the laptop on the high table again.
[597.00s - 626.00s]  Typing with both hands on the laptop.
[627.00s - 646.00s]  Sitting on the sofa chair.
[646.00s - 844.00s]  Playing the game of chess.
[844.00s - 872.00s]  Working on the laptop while standing at the high table with both hands.
[872.00s - 901.00s]  Walking.
[901.00s - 930.00s]  Bending to stir the tea in the teacup on the coffee table.
[930.00s - 959.00s]  Standing up and walking towards the bed. Sitting down on the bed and sipping tea with both hands.
[959.00s - 988.00s]  Sipping tea only with the left hand.
[988.00s - 1016.00s]  Playing chess.
[1016.00s - 1028.00s]  Standing up.
[1028.00s - 1057.00s]  Walking towards the coffee table. Placing the tea cup back on the coffee table. Sitting down on the sofa chair.
[1057.00s - 1082.00s]  Tapping leg to the sound of music.
[1082.00s - 1111.00s]  Mimicking playing drums in the air.
[1112.00s - 1168.00s]  Playing chess.
[1168.00s - 1196.00s]  Tapping legs to the sound of music.
[1196.00s - 1224.00s]  Playing chess.
[1224.00s - 1252.00s]  Tapping feet to the sound of music.
[1252.00s - 1280.00s]  Standing up.
[1282.00s - 1290.00s]  Walking towards the table. Bending to pick up the watering can.
[1290.00s - 1298.00s]  Refilling the watering can with some water.
[1298.00s - 1301.00s]  Walking towards the plant.
[1328.00s - 1353.00s]  Picking up books from the shelf and choosing between them.
[1353.00s - 1365.00s]  Rifling through the book. Flipping pages. Placing the book back in the shelf.
[1365.00s - 1373.00s]  Raising arms up and down. Walking towards the exercise mat. Bending to pick up the dumbbells.
[1395.00s - 1423.00s]  Doing bicep curls together with both arms.
[1423.00s - 1433.00s]  Placing the biceps curls, placing the weights back onto the ground.
[1433.00s - 1462.00s]  Sitting down on the exercise mat and stretching the legs.
[1462.00s - 1485.00s]  Placing the dumbbells on the table.
[1513.00s - 1531.00s]  Stretching arms and legs by reaching for the toes with the fingers.
[1531.00s - 1541.00s]  Stretching the back and raising the knee to the chest.
[1541.00s - 1568.00s]  Adjusting the belt back to knee to chest movement.
[1568.00s - 1588.00s]  Crossing legs on the exercise mat.
[1588.00s - 1600.00s]  Standing up.
