[0.00s - 2.00s]  Five jumps.
[30.00s - 36.00s]  Sitting on the chair, pulling the chair close.
[39.00s - 253.00s]  Typing on the laptop and using the cursor pad.
[313.02s - 330.98s]  Scrolling on the phone with the left hand.
[330.98s - 348.02s]  Picking up a thing from the table.
[348.02s - 364.02s]  Picking up the cutting board from the table and placing it on the left end of the table.
[364.02s - 373.34s]  Taking ice from the upper table, walking back to the smaller table,
[373.34s - 381.66s]  sitting on the sofa chair, crushing the ice with the right hand.
[381.66s - 399.90s]  Using both hands to crush the ice.
[411.66s - 475.66s]  Picking up the cutting board from the table and placing it on the left end of the table.
[475.66s - 488.66s]  Picking up the mixing glass and transferring the ice from the bag into the glass.
[488.66s - 493.66s]  Standing up and placing the bag back into the chair on the high table.
[493.66s - 521.66s]  Sitting back on the sofa chair using the right hand to cut a lemon.
[521.66s - 541.66s]  Picking up the lemon from the cutting board.
[541.66s - 560.66s]  Picking up the lemon slices from the cutting board.
[560.66s - 576.66s]  Picking up the mixing glass and adding the lemon slices into the glass.
[576.66s - 588.66s]  Standing up and placing the lemon back on the table, walking towards the shelf.
[588.66s - 604.66s]  Picking up the equippment from the shelf, placing it back on the shelf, taking the another eqippment on the shelf, walking back towards the sofa chair.
[604.66s - 632.66s]  Sitting down, crushing the ice using the right hand.
[666.66s - 672.66s]  Placing the crushing equipment back on the table.
[672.66s - 690.66s]  Picking up the wine glass and adding the ice cubes into the wine glass.
[690.66s - 718.66s]  Placing the wine glass on the chair and pouring water into the mixing glass.
[720.66s - 736.66s]  Picking up the lemon from the bag and transferring the ice from the glass.
[736.66s - 750.66s]  Adding cocktail syrup into the glass.
[750.66s - 755.66s]  Closing the lid mixture bottle and placing it back on the table.
[755.66s - 784.66s]  Standing up.
[784.66s - 802.66s]  Walking and shaking the cocktail mixture.
[802.66s - 818.66s]  Placing the mixture back onto the table.
[818.66s - 847.66s]  Draining the cocktail into the wine glass.
[847.66s - 852.66s]  Cutting the lemon to fit the rim of the glass.
[852.66s - 862.66s]  Placing the lemon on the rim of the glass.
[862.66s - 868.66s]  Wiping my hands with a tissue paper.
[868.66s - 874.66s]  Picking up the cocktail glass.
[874.66s - 877.66s]  Fixing spectacles on the face.
[877.66s - 894.66s]  Walking and sipping the cocktail.
[894.66s - 897.66s]  Standing.
[897.66s - 900.66s]  Walking back to the main table.
[900.66s - 909.66s]  Picking up the phone and walking towards the high table.
[909.66s - 915.66s]  Placing the glass on the high table and fixing the tall chair.
[915.66s - 921.66s]  Sitting on the tall chair.
[921.66s - 929.66s]  Picking up the cocktail glass.
[929.66s - 958.66s]  Using a mobile phone with the left hand while sipping cocktail with the right.
[958.66s - 970.66s]  Using the phone with both hands.
[970.66s - 984.66s]  Using the phone with the right hand and fixing glasses with the left.
[984.66s - 989.66s]  Using the right hand to take a sip of the cocktail.
[989.66s - 993.66s]  Getting down from the high chair.
[993.66s - 997.66s]  Walking towards the table.
[997.66s - 1005.66s]  Picking up the puzzle from the table.
[1005.66s - 1012.66s]  Changing the pair of glasses.
[1012.66s - 1019.66s]  Picking up the puzzle back from the table and walking towards the high table.
[1019.66s - 1025.66s]  Sitting on the tall chair.
[1025.66s - 1042.66s]  Trying to solve the puzzle.
[1042.66s - 1053.66s]  Using the phone with the left hand.
[1053.66s - 1082.66s]  Placing the phone on the table.
[1082.66s - 1111.66s]  Picking up the puzzle from the table.
[1111.66s - 1209.66s]  Playing with the 3D puzzle cube.
[1209.66s - 1229.66s]  Drinking from the glass.
[1229.66s - 1258.66s]  Using the phone with both hands.
[1258.66s - 1283.66s]  Swinging my legs.
[1283.66s - 1336.66s]  Drinking cocktail while using the phone.
[1336.66s - 1362.66s]  Stretching arms in the air.
[1362.66s - 1375.66s]  Adjusting t-shirt.
[1375.66s - 1379.66s]  Sipping cocktail.
[1379.66s - 1388.66s]  Getting down from the chair.
[1388.66s - 1407.66s]  Picking up the dumbbells.
[1407.66s - 1460.66s]  Doing exercise and doing arm raises with the dumbbells.
[1460.66s - 1485.66s]  Fixing fabric on the legs.
[1485.66s - 1514.66s]  Exercise lunges.
[1567.66s - 1602.66s]  Doing yoga.
[1602.66s - 1606.66s]  Yoga exercise for stretching the body.
[1632.66s - 1650.66s]  Arm raises starting with right hand.
[1650.66s - 1679.66s]  Left hand, hand rotations.
[1679.66s - 1769.66s]  Doing squats.
[1769.66s - 1797.66s]  Sitting on the tall chair and drinking the cocktail.
[1918.66s - 1922.66s]  Getting down from the chair.
[1922.66s - 1931.66s]  Walking towards the mat to do yoga.
[1931.66s - 1947.66s]  Touching the bottom of the feet with fingers three times.
[1947.66s - 1960.66s]  Walking.
[1960.66s - 1971.66s]  Checking time.
[1971.66s - 1974.66s]  Walking towards the coffee table.
[1974.66s - 1988.66s]  Picking up the stuff from the coffee table and arranging it.
[1988.66s - 1992.66s]  Throwing trash in the dustbin.
[1992.66s - 1997.66s]  Walking back to the coffee table.
[1997.66s - 2008.66s]  Placing the cocktail mix on the shelf.
[2008.66s - 2011.66s]  Drinking the cocktail.
