[0.00s - 2.00s]  Five jumps.
[30.00s - 48.00s]  Waving goodbye.
[48.00s - 52.00s]  Walking.
[52.00s - 58.00s]  Picking up the 3D puzzle from the shelf.
[58.00s - 70.00s]  Bending over to see the laptop screen.
[70.00s - 78.00s]  Bending back straight forward.
[78.00s - 84.00s]  Walking towards the bed. Standing in the mat.
[84.00s - 108.00s]  Playing with the 3D puzzle cube while standing.
[114.00s - 126.00s]  Walking.
[180.00s - 186.00s]  Picking up a book on the table.
[186.00s - 196.00s]  Flipping through the pages of the book.
[196.00s - 206.00s]  Playing with the 3D puzzle while taking notes in the book.
[536.00s - 546.00s]  Standing up from the chair.
[608.00s - 610.00s]  Stretching on back.
[610.00s - 620.00s]  Stretching the knee.
[620.00s - 636.00s]  Stretching the other knee.
[636.00s - 652.00s]  Stretching the back.
[652.00s - 668.00s]  Stretching the toes with fingers.
[668.00s - 682.00s]  Stretching arms by crossing them to the left.
[682.00s - 704.00s]  Stretching arms by crossing to the right.
[704.00s - 708.00s]  Adjusting the fan settings.
[708.00s - 712.00s]  Stretching.
[712.00s - 716.00s]  Walking.
[716.00s - 722.00s]  Opening the water bottle.
[722.00s - 736.00s]  Pouring a glass of water.
[736.00s - 742.00s]  Drinking the water.
[742.00s - 754.00s]  Walking while drinking water.
[754.00s - 760.00s]  Examining the fan.
[760.00s - 766.00s]  Placing the glass back onto the tall table.
[766.00s - 770.00s]  Walking.
[774.00s - 778.00s]  Picking up the pineapple from the shelf.
[778.00s - 782.00s]  Taking off the label from the pineapple.
[782.00s - 786.00s]  Walking.
[786.00s - 790.00s]  Sitting onto the sofa chair.
[790.00s - 794.00s]  Standing up.
[794.00s - 798.00s]  Walking.
[802.00s - 810.00s]  Walking to the coffee table, sitting on the chair.
[1091.00s - 1095.00s]  Standing straight.
[1095.00s - 1109.00s]  Looking around.
[1109.00s - 1111.00s]  Wiping the nose.
[1111.00s - 1117.00s]  Walking.
[1117.00s - 1121.00s]  Picking up a tissue.
[1121.00s - 1129.00s]  Wiping the nose and blowing the nose.
[1129.00s - 1138.00s]  Trampling the tissue paper and putting it in the pocket.
[1138.00s - 1140.00s]  Picking up the phone.
[1140.00s - 1142.00s]  Walking towards the bed.
[1142.00s - 1144.00s]  Moving a pillow.
[1144.00s - 1146.00s]  Sitting on the bed.
[1146.00s - 1151.00s]  Laying down sideways With hand underneath the head and 
[1151.00s - 1163.00s]  texting with the left hand.
[1211.00s - 1223.00s]  Getting up from the bed and stretching arms while laying down.
[1223.00s - 1227.00s]  Moving the pillow.
[1227.00s - 1231.00s]  Hugging the pillow.
[1231.00s - 1233.00s]  Getting up from the bed.
[1233.00s - 1244.00s]  Placing the pillow back onto the bed.
[1244.00s - 1250.00s]  Hands on the head.
[1250.00s - 1278.00s]  Stoking the forehead.
[1278.00s - 1280.00s]  Standing up from the bed.
[1280.00s - 1282.00s]  Walking.
[1282.00s - 1286.00s]  Picking up a bag.
[1286.00s - 1288.00s]  Moving it.
[1288.00s - 1290.00s]  Walking.
[1290.00s - 1294.00s]  Stripping over the bag.
[1294.00s - 1296.00s]  Falling onto the ground.
[1296.00s - 1299.00s]  Getting up.
[1299.00s - 1305.00s]  Walking.
[1305.00s - 1313.00s]  Picking up the chessboard from the shelf.
[1313.00s - 1318.00s]  Moving the paper from the desk.
[1318.00s - 1322.00s]  Placing the chessboard onto the desk.
[1322.00s - 1325.00s]  Opening the chessboard.
[1325.00s - 1328.00s]  Taking out the pieces from inside the chessboard.
[1328.00s - 1337.00s]  Placing them to the side.
[1337.00s - 1342.00s]  Flipping the chessboard over.
[1342.00s - 1346.00s]  Arranging, sitting in the chair.
[1346.00s - 1371.00s]  Arranging the pieces onto the chessboard.
[1371.00s - 1376.00s]  Picking up the chess pieces from the table.
[1424.00s - 1445.00s]  Getting up from the chair.
[1445.00s - 1448.00s]  Walking towards the shelf.
[1448.00s - 1456.00s]  Picking up equipment from the shelf.
[1456.00s - 1459.00s]  Walking.
